"genes","logFC","logCPM","PValue","FDR"
"AGMO",-1.85203621116403,3.19080357959066,6.08323173995098e-11,3.71796063524458e-09
"AKR1B10",-2.05479433239087,9.15397748714292,6.46302723006162e-11,3.92651187487318e-09
"ANXA9",-2.0159697769435,3.22300318233372,6.48286208702846e-11,3.92651187487318e-09
"CYSLTR1",-1.98957651988811,3.43439222158849,7.44527599940682e-11,4.48920094565131e-09
"IYD",-3.4018187461121,1.63375884266324,7.59054644912281e-11,4.55636105155827e-09
"RND3",1.20732305468558,5.40541034933451,8.32968356808801e-11,4.97781890028939e-09
"HMGCS2",-3.57884759479088,6.41366095050022,8.99990634695921e-11,5.35454605049618e-09
"CYP4F2",-3.34448778542462,2.95515721417663,9.16726432619422e-11,5.43008969735716e-09
"CXCL13",-1.49734614894622,7.4168679971949,9.97900987157914e-11,5.88498976900233e-09
"H1-0",-1.62764058505613,5.79124415001386,1.01414825618137e-10,5.95468884393656e-09
"SLC39A5",-4.18319261814368,0.314545481738034,1.03570520731828e-10,6.05482270330502e-09
"TLCD5",1.39374252759764,3.93547837361368,1.24364228971052e-10,7.23896719802927e-09
"BDH1",-3.77085065740319,0.808074255558733,1.27284090108793e-10,7.37699084311565e-09
"FMO3",-1.46120419531976,7.10635215282471,1.29172731788803e-10,7.4543199640869e-09
"MPZL2",-1.74647233035862,3.49833353271543,1.5029525736465e-10,8.63619671164567e-09
"AHSG",-3.86390092687642,1.17722022600405,1.58216887790262e-10,9.05269903501217e-09
"TLCD4",-1.38163151165633,4.6137858597546,1.9810872277615e-10,1.12871605357971e-08
"ITGA1",-1.30078492875862,4.7793639628934,1.99324024999123e-10,1.13084845575452e-08
"CAMSAP3",-2.00833075166947,3.38242522235576,2.07340769111714e-10,1.17138822751097e-08
"IRF7",-1.66572976240465,3.38734010931118,2.13672640213489e-10,1.20210975745212e-08
"PDZK1",-1.29611447599348,5.64789056325422,2.46829041588826e-10,1.3828597055014e-08
"TM7SF2",-1.45740547458168,6.17369004162798,3.73073102985483e-10,2.08146927084764e-08
"KAT2B",-1.58007548680691,3.80859452191094,4.03354772696035e-10,2.24111912135161e-08
"CLU",-1.9768397063024,10.5556259462087,4.2643031427882e-10,2.3595810723428e-08
"ACAD11",-1.0187885930785,5.75154041626101,4.57278046785952e-10,2.51927784956932e-08
"FDXR",1.643219379671,6.74647127024081,4.59038430123817e-10,2.51927784956932e-08
"LINC00273",1.76338777382757,4.22051601480513,4.80407817485941e-10,2.62583882679511e-08
"ACMSD",-1.90108189320237,4.89898796813843,6.15177604929222e-10,3.34885752059851e-08
"ENSG00000290786",-2.29662664996618,2.98367169117761,7.49535045142582e-10,4.06380976491418e-08
"CDH1",-1.96520091785185,2.1645897754649,8.48167112851265e-10,4.58010240939683e-08
"MAT1A",-3.41031942138938,6.35606468486584,9.94459748625334e-10,5.3486023120065e-08
"MAL2",-1.19379753848324,5.42727294619336,1.01229534345078e-09,5.42283792352157e-08
